,0,1,2,3,4,5,6,7,8
name,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
map,0.33727882668075215,0.3406108381982578,0.3340197816012936,0.32130298142772296,0.2900574806485752,0.2577763837519781,0.2164459068372777,0.1722788036000665,0.1345855910092641
