,0,1,2,3,4,5,6,7,8
name,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
map,0.36022291498694686,0.36697639255800624,0.3678012645558677,0.36103735905183176,0.36121240080599754,0.3537021231840976,0.3486827667068134,0.34367174893564817,0.34398265387388677
