,0,1,2,3,4,5,6,7,8
name,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
map,0.2502128966075858,0.2571123586517024,0.25255338297449603,0.25065663935629,0.2433165894774295,0.23456830222196967,0.22506120442758498,0.21886305998171196,0.21178196484830492
