,0,1,2,3,4,5,6,7,8
name,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.9000
map,0.07136924685343486,0.07617164088890244,0.07917207750316065,0.08137300867675894,0.08172974230638358,0.0798455360601717,0.07751506588925312,0.07825472075147048,0.067625158026015
