,0,1,2,3,4,5,6,7,8
name,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90
map,0.22141554596161572,0.22310991621859558,0.2256813916303432,0.21571650696804368,0.19993675469025157,0.1804137902796682,0.15735514785595386,0.13667849792123035,0.11121275936280155
